reviewId,userName,content,score,at,replyContent,repliedAt,clean_text,cluster,theme,sentiment_score,sentiment
90da430a-834a-41c1-8a68-08151cd9c5ae,STEPHEN DUEDU,The app can't even be login from Ghana. 😏😏😏😏,1,2025-06-05 20:40:40,,,the app cant even be login from ghana,2,App Experience & Ads,-0.791021466255188,NEGATIVE
90210054-95bf-4aed-b321-0d044ade5e6b,Eeri Rereia,I like this app but the main things you can't place your order in kiribati and tuvalu,4,2025-06-05 19:51:46,,,i like this app but the main things you cant place your order in kiribati and tuvalu,2,App Experience & Ads,-0.4786829650402069,NEGATIVE
1e7e4488-f91f-4dab-b05a-4a24f13104fb,Ibrahim Dayisi,I kept advertising and advertising and advertising just to get my points they just kept telling me share share share and that's what I did and I had nothing. I made one regular purchase with my own money and they said the shipment got canceled. that was stupid,1,2025-06-05 19:48:58,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:41:38,i kept advertising and advertising and advertising just to get my points they just kept telling me share share share and thats what i did and i had nothing i made one regular purchase with my own money and they said the shipment got canceled that was stupid,1,Order & Delivery Issues,-0.8975499868392944,NEGATIVE
38bcbdaa-e649-4868-a3a4-e469af294e28,Lorraine Howard,Folk spend there money and the little puppy game to win something free I have been playing that game for a while now. and am know we're near getting anything play Fair,1,2025-06-05 19:10:26,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:41:48,folk spend there money and the little puppy game to win something free i have been playing that game for a while now and am know were near getting anything play fair,1,Order & Delivery Issues,0.0,NEUTRAL
b7bb075a-cb83-4b82-9390-a792c3a90151,Demie Don,"They're a SCAMM APP... using their buying costumers to do free promotions for them, promising free gifts for sharing their App link to friends and family for free gifts🎁 that they don't give at the end of you doing exactly what they say you're to do... DEFINITELY NOT COOL ""shein""... THAT HOW LITTLE I SEE YOU GUYS AS OF NOW‼️😒 ....🤢🤮",1,2025-06-05 18:12:49,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:42:40,theyre a scamm app using their buying costumers to do free promotions for them promising free gifts for sharing their app link to friends and family for free gifts that they dont give at the end of you doing exactly what they say youre to do definitely not cool shein that how little i see you guys as of now,2,App Experience & Ads,-0.8263326287269592,NEGATIVE
5699b149-9fa0-49df-9a7e-848f8268c9ec,Marg DeGlandon,a little difficult to get to the site.,4,2025-06-05 17:48:58,,,a little difficult to get to the site,1,Order & Delivery Issues,-0.5802620053291321,NEGATIVE
efc3bc1a-f839-4c6f-8157-32fef6981ca4,Lady Joyful,"SHEIN DOES NOT REFUND THEIR MERCHANTS MONEY TO THEIR BANK ACCOUNT CARDS. .USED FOR PURCHASES ,USING ZIP TO MAKE BI/ WEEKLY PAYMENTS..I HAVE RETURNED ITEMS..HAD ITEMS NOT RECEIVED AT MY HOME BECAUSE OF SOMETHING ON THEIR END..TOLD TO CHECK WITH MY BANK OR ZIP..ONCE DID..NO REFUNDS CREDITED TO EITHER..AND TO TOP THAT OFF..THERE IS ONLY A CHAT BOT...REALLY SHEIN..SHAME ON YOU..I DISCONTINUED TEMU ..AND REMOVED AND DELETED THEM..HAVE NO PROBLEM DOING THE SAME WITH SHEIN.",2,2025-06-05 17:45:19,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:58:44,shein does not refund their merchants money to their bank account cards used for purchases using zip to make bi weekly paymentsi have returned itemshad items not received at my home because of something on their endtold to check with my bank or ziponce didno refunds credited to eitherand to top that offthere is only a chat botreally sheinshame on youi discontinued temu and removed and deleted themhave no problem doing the same with shein,1,Order & Delivery Issues,-0.853843629360199,NEGATIVE
a2b23021-dd04-4bcb-bb52-f79b0edc6887,Pheliswa Eloff,shein has the best quality clothes n they arrive in tym n also they have valuable offer 👌their discount is on point.what I also lyk is when I order some items they fit me so cute n sexy 💥shein just know how to dress me n my family n with just an affordable price shein is the best that's y I rate them 💥💥💥💥💥💥💥💥💥💥cos their business is on top n they know how to satisfy their customers shein is the best n they don't scam anybody they are the real deal trust me .shein is the best 💥💥💥💥,5,2025-06-05 17:04:00,,,shein has the best quality clothes n they arrive in tym n also they have valuable offer their discount is on pointwhat i also lyk is when i order some items they fit me so cute n sexy shein just know how to dress me n my family n with just an affordable price shein is the best thats y i rate them cos their business is on top n they know how to satisfy their customers shein is the best n they dont scam anybody they are the real deal trust me shein is the best,0,Product Quality & Value,0.9732570648193359,POSITIVE
03d76984-7623-43b1-80bf-d664e25590bd,Amara Ojiaku,JUST ONE MORE AD ONE MORE AND WE WILL FIGHT BUT WOW THE CLOTHS WOW,1,2025-06-05 16:43:09,,,just one more ad one more and we will fight but wow the cloths wow,0,Product Quality & Value,0.0,NEUTRAL
77835169-d9d7-469e-968c-67f1567843c3,Kelly W,"Falsely advertised ""sale prices"". Whenever you add a sale item to the cart it always comes up more when it's selected for purchase. Why advertise an item for one price and then increase it upon purchase. I think that's called scamming 🤷🏻‍♀️",1,2025-06-05 16:29:45,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 22:02:34,falsely advertised sale prices whenever you add a sale item to the cart it always comes up more when its selected for purchase why advertise an item for one price and then increase it upon purchase i think thats called scamming,1,Order & Delivery Issues,-0.8250876665115356,NEGATIVE
35c88e4d-1729-4114-9019-a3ff55baf636,Anaa Sweet,it has scam games. they promise you free items but its all a scam. im buying from temu,1,2025-06-05 16:11:01,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 22:00:54,it has scam games they promise you free items but its all a scam im buying from temu,1,Order & Delivery Issues,-0.9149495363235474,NEGATIVE
25aa82c9-cffe-4870-b21e-0fcf9ed58a81,theking yugioh,One of the worst clickbait and fake discount.,1,2025-06-05 15:46:06,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 22:02:39,one of the worst clickbait and fake discount,1,Order & Delivery Issues,-0.9237427115440369,NEGATIVE
5cfcab79-f381-4ec3-bd42-74ff03af6114,Terri Eakins,"I use to do a big shopping haul for the year but after last time I deleted my account the app. I purchased a cheap off shoulder sweater for a trip as soon as I recieved it and washed only once it balled all up and the seem came out. I put in the garbage and reached out I sent pics and all. They didn't care I had to return at my cost before they would help, So I started shopping on Temu. ( To there response) Thank you for the robot response I tried and same response no thanks...",1,2025-06-05 14:19:23,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-05-24 05:52:34,i use to do a big shopping haul for the year but after last time i deleted my account the app i purchased a cheap off shoulder sweater for a trip as soon as i recieved it and washed only once it balled all up and the seem came out i put in the garbage and reached out i sent pics and all they didnt care i had to return at my cost before they would help so i started shopping on temu  to there response thank you for the robot response i tried and same response no thanks,1,Order & Delivery Issues,-0.6801487803459167,NEGATIVE
2877bbac-abe6-44dc-aa7a-16ab2d21ecf2,Patricia Mosely,can't make a purchase,1,2025-06-05 13:32:35,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:57:24,cant make a purchase,1,Order & Delivery Issues,-0.49604687094688416,NEGATIVE
3138f286-0fc7-4606-9cb2-c19d26dc1d12,Rami Mohammed Abdmajed Amin,"Shein does not care about its customers, nor does it satisfy them, nor does it address their problems or respond to their questions, evading responsibility. I trusted them, and they chose the cheapest and worst delivery companies that put the package and back with it. I contacted the company, which disclaimed its responsibility towards that. Sorry, this is not good treatment. I wasted my money on loss.",1,2025-06-05 12:37:16,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:54:44,shein does not care about its customers nor does it satisfy them nor does it address their problems or respond to their questions evading responsibility i trusted them and they chose the cheapest and worst delivery companies that put the package and back with it i contacted the company which disclaimed its responsibility towards that sorry this is not good treatment i wasted my money on loss,1,Order & Delivery Issues,-0.9335310459136963,NEGATIVE
62eb2949-ef6f-4feb-8f24-6532d93d34a6,Sine Nono,horrible apps and there's a lot of ads i use to love shein now i hate this app,1,2025-06-05 12:27:29,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:38:37,horrible apps and theres a lot of ads i use to love shein now i hate this app,2,App Experience & Ads,-0.9551573395729065,NEGATIVE
2ff99fed-f5a9-4605-ada0-3ce21c24cd21,Jasmine McWilliams,why say you can get Free Stuff if you insist on us sending people requests?! NO ONE WILL ACCEPT MY INVITE!! every time! Even more so for the people using hotspot at their service because this economy sucks & everything costs a lim & a leg,3,2025-06-05 12:20:19,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:39:33,why say you can get free stuff if you insist on us sending people requests no one will accept my invite every time even more so for the people using hotspot at their service because this economy sucks  everything costs a lim  a leg,2,App Experience & Ads,-0.9194668531417847,NEGATIVE
d93960e9-81b9-402e-bf0c-b5991a8e14fd,Lorelyn Jose,"i love shein, i always order clothes from there. however, when i tried to get the puppy keep, there was a bug. when i reach 90%, it always goes back to 30%. i don't want to argue further, but it's my hard-earned effort. if shein doesn't want to give me the stuff i've put effort into getting, then shein should remove it.",3,2025-06-05 12:16:39,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:37:33,i love shein i always order clothes from there however when i tried to get the puppy keep there was a bug when i reach 90 it always goes back to 30 i dont want to argue further but its my hardearned effort if shein doesnt want to give me the stuff ive put effort into getting then shein should remove it,1,Order & Delivery Issues,-0.49613675475120544,NEGATIVE
7e39f568-b2cc-4462-86de-5f4bb1e140b7,Couscous Zaria,I don't like the fact that I am SPARING for points so I can get ip to 20 dollars and then I get forced to spend my point or else they will take away point I was nearly at 12 dollars and the quality is bad and if someone has a big b##b never at the clothes it's saying made for small cus when I buy my size the clothes it will be to small and the quality is bad and they put my package at a pick up point when I told them to bring it to my house. this is a good app but these things made it worse.,2,2025-06-05 11:53:32,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:38:37,i dont like the fact that i am sparing for points so i can get ip to 20 dollars and then i get forced to spend my point or else they will take away point i was nearly at 12 dollars and the quality is bad and if someone has a big b never at the clothes its saying made for small cus when i buy my size the clothes it will be to small and the quality is bad and they put my package at a pick up point when i told them to bring it to my house this is a good app but these things made it worse,2,App Experience & Ads,-0.876147985458374,NEGATIVE
c0b252a8-7707-42e2-9837-836b378a77a7,Dorothy Lewis,"I just became a customer through my granddaughter. I am/was a devoted Temu customer. Due to the recent tariff implementation, I can't afford the extra taxes.",5,2025-06-05 11:45:21,,,i just became a customer through my granddaughter i amwas a devoted temu customer due to the recent tariff implementation i cant afford the extra taxes,1,Order & Delivery Issues,0.0,NEUTRAL
0e89d17a-ce73-4f2c-88d0-b7b1536f9641,mina adehmoune,This app stole my money twice do bot trust it,1,2025-06-05 09:20:49,"Hello, sorry for the inconvenience. For any issues, you may contact Customer Service in app for assistance. We are happy to assist you! 💕Please click ""me""-→support-→customer service to enter 【Contact Agent】and submit a ticket to us.",2022-06-10 22:37:59,this app stole my money twice do bot trust it,2,App Experience & Ads,-0.9254622459411621,NEGATIVE
97d470a2-4eb5-47b8-9042-5660650b51b0,Bubomi Qamse,notifications every time and I hate it and she always is the clothes are damaging and also when I bought clothes then they came through delivery and my clothes were small but I asked 11 to 12 for my son but give me 5 to 6,1,2025-06-05 08:21:14,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:49:29,notifications every time and i hate it and she always is the clothes are damaging and also when i bought clothes then they came through delivery and my clothes were small but i asked 11 to 12 for my son but give me 5 to 6,1,Order & Delivery Issues,-0.8967734575271606,NEGATIVE
f427a6b5-1d78-445f-8124-5fb3d2309e91,R C,They steal and lie! I ordered a few things and never received them. When I contacted customer service they gave me a run around over and over with a repetitive message. When I got sick of them and their nonsense I requested to delete my account. Now they've come up with some lame excuse that legally they are bound to keep all accounts open for legal obligation. BS! BIGGEST CROOKS!,1,2025-06-05 08:14:29,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 21:50:04,they steal and lie i ordered a few things and never received them when i contacted customer service they gave me a run around over and over with a repetitive message when i got sick of them and their nonsense i requested to delete my account now theyve come up with some lame excuse that legally they are bound to keep all accounts open for legal obligation bs biggest crooks,1,Order & Delivery Issues,-0.9416626691818237,NEGATIVE
43939ca9-d772-4fa5-989e-a94f36b2e466,nionix,"please fix the login/register problem ""The server is currently unavailable"" i cannot do anything on the app pls fix it.",2,2025-06-05 07:36:23,,,please fix the loginregister problem the server is currently unavailable i cannot do anything on the app pls fix it,2,App Experience & Ads,-0.8800551295280457,NEGATIVE
64502b95-9e76-460f-b7cd-532366d2a02d,Janet mcateer,first time to try i like to win,5,2025-06-05 07:23:36,,,first time to try i like to win,0,Product Quality & Value,0.8890149593353271,POSITIVE
47ee23e8-984f-4032-a9c4-6e9adc7e3ad4,Katerina Neophytou,My account and card number was shared by Shein with another customer account and this person from Greece was able to buy stuff using my card! Edit: I contacted that person (I can see all her details in my account) from Greece who paid using my credit card and she claims that she also paid for the same order. She basically claimed that she could see another credit card (mine) being also charged along with hers when she was paying her order. Shein couldn't explain to her how this happened,1,2025-06-05 07:06:04,,,my account and card number was shared by shein with another customer account and this person from greece was able to buy stuff using my card edit i contacted that person i can see all her details in my account from greece who paid using my credit card and she claims that she also paid for the same order she basically claimed that she could see another credit card mine being also charged along with hers when she was paying her order shein couldnt explain to her how this happened,1,Order & Delivery Issues,0.0,NEUTRAL
96707402-b7fc-4e27-909e-c4f08c52797b,kinitow,Cheap tat. Horrible interface.,1,2025-06-05 06:57:42,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2024-11-01 22:01:29,cheap tat horrible interface,2,App Experience & Ads,-0.9424758553504944,NEGATIVE
a2f9a8ed-dae6-4bd5-9398-76669b70bf6a,Salman Sarfraz,nice apps online shopping,5,2025-06-05 06:39:07,,,nice apps online shopping,2,App Experience & Ads,0.9189079999923706,POSITIVE
2eac8220-4dce-4fa7-92c8-43b9e75f8adf,Clovice Lewis,Sign in - Google Accounts,5,2025-06-05 06:30:37,,,sign in  google accounts,2,App Experience & Ads,0.0,NEUTRAL
09b238d6-a14b-408f-932d-7db5cf65c246,Nokwazi Oluhle Xulu,work experience,5,2025-06-05 06:07:42,,,work experience,0,Product Quality & Value,0.0,NEUTRAL
afbed584-6287-4247-ae9b-5f83e86c9ccd,Angela Mendoza,"the games are scams, it may seem easy but games like spin to win and money tree make it seem easy at first, but then I get coins less than cents till I have to do it again. They just make you invite many people and the 24 hour time limit is just unacceptable",1,2025-06-05 03:46:40,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 07:35:38,the games are scams it may seem easy but games like spin to win and money tree make it seem easy at first but then i get coins less than cents till i have to do it again they just make you invite many people and the 24 hour time limit is just unacceptable,2,App Experience & Ads,-0.9037493467330933,NEGATIVE
edbff778-81ae-4ae5-b44f-d80d6d9199db,Zeinab Darwish,not very good i am sorry,1,2025-06-05 03:40:05,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 07:35:44,not very good i am sorry,0,Product Quality & Value,-0.9231063723564148,NEGATIVE
2e736047-b3f0-4db0-9b5a-07c9203fbab2,Alecia Beecher,don't buy anything unless you really need need it on shein. every item price went up dramatically has you put it in your cart.they say shipping cost is 3.99 guess what it isn't. I try to buy a item for sale which is $8 how did it reach $13 even with out the tax. plus a item could be displaying that it's $10 when you click on it prices change 😓😭to more money.,1,2025-06-05 02:00:58,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 06:08:38,dont buy anything unless you really need need it on shein every item price went up dramatically has you put it in your cartthey say shipping cost is 399 guess what it isnt i try to buy a item for sale which is 8 how did it reach 13 even with out the tax plus a item could be displaying that its 10 when you click on it prices change to more money,1,Order & Delivery Issues,-0.6398756504058838,NEGATIVE
c3527bb5-85cd-4ac3-b611-9d9c977337fc,Alisa Deer,there are a szam,1,2025-06-05 01:56:24,,,there are a szam,0,Product Quality & Value,0.0,NEUTRAL
10808536-e3e6-4bce-b672-e61dd6ae6b15,Victoria Brannon,"despite me entering the correct mailing address. they shipped it to the wrong house. when I asked for the item to be replaced, they said im not guaranteed a refund or my product... I believe they should hold themselves accountable for their mistake and will be reporting them to the bank as fraud for making no attempt to fix their mistake. there are too many other better site. I will not shop from them again they are frauds.",1,2025-06-04 23:49:41,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 07:36:03,despite me entering the correct mailing address they shipped it to the wrong house when i asked for the item to be replaced they said im not guaranteed a refund or my product i believe they should hold themselves accountable for their mistake and will be reporting them to the bank as fraud for making no attempt to fix their mistake there are too many other better site i will not shop from them again they are frauds,1,Order & Delivery Issues,-0.8873173594474792,NEGATIVE
2ae14a70-2277-4033-8f23-32cb0355020b,Jennifer Hegwood,Shein has great clothing options. I will always find clothingto wear with Shein. Thank you Shein.,5,2025-06-04 22:40:29,,,shein has great clothing options i will always find clothingto wear with shein thank you shein,0,Product Quality & Value,0.9824267625808716,POSITIVE
f3f47f90-8c7d-4c63-84a9-3ac75b840d95,Marie Tina,Doesn't function Properly glitches big time!!! makes phone run extremely hot for some reason S****,1,2025-06-04 22:11:17,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 04:50:34,doesnt function properly glitches big time makes phone run extremely hot for some reason s,2,App Experience & Ads,-0.9284394383430481,NEGATIVE
8d9b6ef9-3d06-4025-a3a7-8c865e2e925d,Felicia,"The price of the items you look at DOUBLES once added to cart. Why show one price when clicking add to cart and another once in the cart? Also beware of price changes when selecting items already in your cart because they change too. Shein is looking more and more like false advertising everytime I open the app. As a response to Shein: this isn't a question the ""Chatbot"" can answer. A real response to customers would be appreciated instead of an automated reply.",1,2025-06-04 22:01:26,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-04 21:39:20,the price of the items you look at doubles once added to cart why show one price when clicking add to cart and another once in the cart also beware of price changes when selecting items already in your cart because they change too shein is looking more and more like false advertising everytime i open the app as a response to shein this isnt a question the chatbot can answer a real response to customers would be appreciated instead of an automated reply,2,App Experience & Ads,-0.6496062278747559,NEGATIVE
44d0f014-1b59-4ec1-a8e7-fcc88e49226a,Lynda Ford,Very expensive for items that can be bought elsewhere,1,2025-06-04 21:21:45,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-05 05:29:53,very expensive for items that can be bought elsewhere,0,Product Quality & Value,-0.6281115412712097,NEGATIVE
72616783-eca6-4060-9b6b-8e92e967e148,Chanel L,it's hard to cancel my order I just miss licked,1,2025-06-04 20:42:56,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-04 22:14:37,its hard to cancel my order i just miss licked,1,Order & Delivery Issues,-0.7694340944290161,NEGATIVE
3755e1e9-3155-4a84-b5c9-de389dc18428,whitney,It is amazing such cute close like they are so slay and preppy,5,2025-06-04 20:17:27,,,it is amazing such cute close like they are so slay and preppy,0,Product Quality & Value,0.9796644449234009,POSITIVE
f672ba95-64c1-4202-990d-4df38bec8dec,Jane Ngobeni,I don't understand why the adds always draw my apps,1,2025-06-04 19:58:11,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-04 22:13:57,i dont understand why the adds always draw my apps,2,App Experience & Ads,-0.8294520974159241,NEGATIVE
f5704e24-47b3-46d5-881e-b2de8c0ba362,Michele Lee,I've been checking every day and for the past week my points are stuck on a certain number. The other day it was ten points less and I didn't use them. Can this problem be fixed?,2,2025-06-04 18:57:51,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",2025-06-04 22:20:03,ive been checking every day and for the past week my points are stuck on a certain number the other day it was ten points less and i didnt use them can this problem be fixed,1,Order & Delivery Issues,-0.8216484189033508,NEGATIVE
11f67639-e64d-49c6-a57f-710c5a3b0d2a,emily ngubane,please switch off,1,2025-06-04 18:50:25,,,please switch off,0,Product Quality & Value,0.0,NEUTRAL
